order_id,product_id,product_description,product_price,product_vat_rate,discount_rate,quantity,full_price_amount,discounted_amount,vat_amount,total_amount
2,794,IBM 032,21873,0.11,0,49,1071777,1071777,117895.47,1189672.47
2,780,IBM 003,94046,0.2,0.761293446,29,2727334,651032.5004,130206.5001,781239.0005
2,521,Deskjet 995c / 995ck,47082,0.11,0,20,941640,941640,103580.4,1045220.4
2,835,A388C (Accompli 388),55162,0,0,50,2758100,2758100,0,2758100
2,580,Officejet 330,15927,0.11,0,46,732642,732642,80590.62,813232.62
2,365,QM3,33152,0.2,0,11,364672,364672,72934.4,437606.4
2,417,GS8,96066,0.11,0,22,2113452,2113452,232479.72,2345931.72
2,462,Deskjet 610c / 610cl,1037,0.2,0.522203088,33,34221,16350.68813,3270.137627,19620.82576
2,589,Officejet 720,98827,0,0.042481094,30,2964810,2838861.628,0,2838861.628
2,428,XC60,76782,0,0,30,2303460,2303460,0,2303460
2,480,Deskjet 697c,62009,0,0,27,1674243,1674243,0,1674243
2,477,Deskjet 693c,38209,0,0.674717399,28,1069852,348004.2418,0,348004.2418
2,549,Deskjet 6620,13463,0,0,26,350038,350038,0,350038
2,590,Officejet 725,30347,0,0.485438772,29,880063,452846.2984,0,452846.2984
2,792,IBM 029,47535,0.11,0,8,380280,380280,41830.8,422110.8
2,822,MicroTAC Alpha,65335,0,0,12,784020,784020,0,784020
2,517,Deskjet 960c / 960cse / 960cxi,77184,0,0,3,231552,231552,0,231552
2,640,Officejet Pro 1170c / 1170cse / 1170cxi,61714,0,0,35,2159990,2159990,0,2159990
2,830,MicroTAC DPC Series,28791,0,0.786399953,15,431865,92246.38417,0,92246.38417
3,372,Kodiaq,19169,0.11,0,17,325873,325873,35846.03,361719.03
3,316,GLA-Class,12730,0.11,0,33,420090,420090,46209.9,466299.9
3,843,A910/A910i,4415,0.11,0,4,17660,17660,1942.6,19602.6
3,266,Wrangler Unlimited/Wrangler 4 door,31715,0,0,10,317150,317150,0,317150
3,254,ESQ,45130,0,0.874577348,8,361040,45282.59432,0,45282.59432
3,573,Deskjet All-in-one F4185,40081,0,0,14,561134,561134,0,561134
3,164,Trax,54644,0.2,0.644854111,28,1530032,543384.5747,108676.9149,652061.4897
3,835,A388C (Accompli 388),97409,0.2,0,50,4870450,4870450,974090,5844540
3,510,Deskjet 940c / 940cvr / 940cw / 940cxi,74671,0,0,10,746710,746710,0,746710
3,296,MKC,7321,0.11,0,7,51247,51247,5637.17,56884.17
3,1,Oréos 2X,74802,0,0,22,1645644,1645644,0,1645644
4,473,Deskjet 680c,57611,0.2,0,37,2131607,2131607,426321.4,2557928.4
4,95,Cobus 2700,99212,0,0,8,793696,793696,0,793696
4,837,A768,86732,0.11,0,23,1994836,1994836,219431.96,2214267.96
4,138,FRV Cross,56263,0,0.227887076,37,2081731,1607331.41,0,1607331.41
4,677,Photosmart 245,99377,0.2,0,24,2385048,2385048,477009.6,2862057.6
4,612,Officejet 9110,73253,0,0,8,586024,586024,0,586024
4,115,Q2,52078,0.2,0.877853185,12,624936,76333.94206,15266.78841,91600.73047
4,415,GS3,97680,0,0.186370794,3,293040,238425.9024,0,238425.9024
5,736,Photosmart C7288,38757,0,0,26,1007682,1007682,0,1007682
5,485,Deskjet 810c,97214,0,0,42,4082988,4082988,0,4082988
5,473,Deskjet 680c,43004,0.2,0,48,2064192,2064192,412838.4,2477030.4
5,40,МАЗ-205 (автобус),3619,0,0.635595049,22,79618,29013.19341,0,29013.19341
5,397,Nexon,90033,0.11,0,11,990363,990363,108939.93,1099302.93
5,440,Deskjet 200cci,30745,0.11,0,7,215215,215215,23673.65,238888.65
5,23,Ikarus 31,82113,0.11,0,26,2134938,2134938,234843.18,2369781.18
5,111,LX,42292,0.11,0,31,1311052,1311052,144215.72,1455267.72
5,332,Juke,68346,0,0,13,888498,888498,0,888498
5,224,Haval H5,17895,0.11,0,1,17895,17895,1968.45,19863.45
5,270,Borrego/Mohave,71986,0.11,0,2,143972,143972,15836.92,159808.92
5,685,Photosmart 1215,83149,0,0.316818602,19,1579831,1079311.151,0,1079311.151
6,767,DC24,34094,0.11,0.071715596,22,750068,696276.4265,76590.40692,772866.8334
6,195,Besturn X80,30302,0.2,0,7,212114,212114,42422.8,254536.8
6,858,Canon J II,9063,0.11,0.267144264,32,290016,212539.8891,23379.3878,235919.2769
6,42,Ikarus 250,24806,0.11,0,35,868210,868210,95503.1,963713.1
6,193,Artemis,29400,0.11,0,4,117600,117600,12936,130536
6,565,Deskjet D2545,84200,0.2,0,46,3873200,3873200,774640,4647840
6,624,Officejet k80 / k80xi,82655,0.2,0.627410516,19,1570445,585131.2921,117026.2584,702157.5505
6,237,CR-V,49356,0.11,0,4,197424,197424,21716.64,219140.64
6,623,Officejet k60 / k60xi,1244,0.2,0,2,2488,2488,497.6,2985.6
6,736,Photosmart C7288,11203,0.2,0,4,44812,44812,8962.4,53774.4
6,328,Outlander PHEV,30310,0.11,0,27,818370,818370,90020.7,908390.7
6,78,PAZ-672,81277,0,0,29,2357033,2357033,0,2357033
6,20,Škoda 28Tr Solaris,69643,0.11,0,43,2994649,2994649,329411.39,3324060.39
6,542,Deskjet 5550 / 5551 / 5552,68818,0,0,30,2064540,2064540,0,2064540
6,784,IBM 013,46634,0.11,0,2,93268,93268,10259.48,103527.48
6,794,IBM 032,19050,0.11,0.388048373,43,819150,501280.1753,55140.81928,556420.9946
